second	V
1	4.178848	
2	4.178886	
3	4.177511	
4	4.176976	
5	4.177168	
6	4.178886	
7	4.178771	
8	4.178771	
9	4.178886	
10	4.178886	
11	4.177588	
12	4.177358	
13	4.177205	
14	4.176976	
15	4.177091	
16	4.177092	
17	4.176824	
18	4.176938	
19	4.176557	
20	4.176557	
21	4.176862	
22	4.176900	
23	4.176785	
24	4.176977	
25	4.176785	
26	4.176251	
27	4.175678	
28	4.176022	
29	4.176365	
30	4.176212	
31	4.176136	
32	4.176022	
33	4.169530	
34	4.166590	
35	4.165712	
36	4.165369	
37	4.159946	
38	4.159450	
39	4.158992	
40	4.158648	
41	4.158839	
42	4.158686	
43	4.158342	
44	4.158266	
45	4.158190	
46	4.157579	
47	4.157273	
48	4.157273	
49	4.157121	
50	4.157274	
51	4.156929	
52	4.156548	
53	4.156662	
54	4.156509	
55	4.156395	
56	4.157464	
57	4.157426	
58	4.157579	
59	4.156815	
60	4.157273	
61	4.156929	
62	4.156701	
63	4.156700	
64	4.156586	
65	4.156357	
66	4.156166	
67	4.156281	
68	4.155326	
69	4.155364	
70	4.155326	
71	4.155632	
72	4.155517	
73	4.155517	
74	4.155479	
75	4.155746	
76	4.155707	
77	4.155708	
78	4.155822	
79	4.156013	
80	4.155784	
81	4.155593	
82	4.156854	
83	4.155326	
84	4.155593	
85	4.155479	
86	4.155479	
87	4.155326	
88	4.155173	
89	4.155173	
90	4.155059	
91	4.154983	
92	4.155059	
93	4.155250	
94	4.154830	
95	4.154295	
96	4.152958	
97	4.152958	
98	4.153264	
99	4.152806	
100	4.153799	
101	4.152691	
102	4.152462	
103	4.152576	
104	4.152691	
105	4.152348	
106	4.152844	
107	4.152462	
108	4.152271	
109	4.152424	
110	4.147957	
111	4.132760	
112	4.134363	
113	4.129017	
114	4.130888	
115	4.118784	
116	4.114125	
117	4.111070	
118	4.115118	
119	4.110307	
120	4.112789	
121	4.111071	
122	4.108397	
123	4.110956	
124	4.116683	
125	4.112101	
126	4.112484	
127	4.109428	
128	4.104388	
129	4.097744	
130	4.113781	
131	4.114583	
132	4.113591	
133	4.112407	
134	4.112903	
135	4.114355	
136	4.107672	
137	4.110269	
138	4.114087	
139	4.114469	
140	4.112979	
141	4.101104	
142	4.088847	
143	4.097171	
144	4.104808	
145	4.104198	
146	4.107214	
147	4.107863	
148	4.106297	
149	4.103395	
150	4.107596	
151	4.109848	
152	4.100913	
153	4.111835	
154	4.101906	
155	4.099615	
156	4.096981	
157	4.096064	
158	4.098661	
159	4.101410	
160	4.096255	
161	4.081248	
162	4.091940	
163	4.090145	
164	4.101715	
165	4.117180	
166	4.116035	
167	4.117524	
168	4.116455	
169	4.112712	
170	4.116340	
171	4.119739	
172	4.117065	
173	4.113629	
174	4.113247	
175	4.114278	
176	4.111948	
177	4.112789	
178	4.120388	
179	4.114087	
180	4.115653	
181	4.113094	
182	4.109581	
183	4.111414	
184	4.112941	
185	4.112827	
186	4.112216	
187	4.114125	
188	4.112598	
189	4.113781	
190	4.113667	
191	4.117791	
192	4.109428	
193	4.106106	
194	4.112980	
195	4.108169	
196	4.109390	
197	4.117027	
198	4.112292	
199	4.113209	
200	4.115576	
201	4.114507	
202	4.114736	
203	4.115576	
